"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark_details/8","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"58177083","2440-Sq-ft-Commercial-Land-FOR-Sale-Vajarahalli-in-Bangalore&id=4d423538313737303833"," Commercial Land for Resale in Vajarahalli, Vajarahalli","2025-07-31T17:35:01.000Z",,"37000000","15164","₹",,,,"19202|Creaa Academy for Learning",,,,,,,,,,"12.87025589,77.54523001","Anusha",,,"12850",,,"South",,"Bangalore",,"Bangalore, Karnataka",,,,,
"58033029","1888-Sq-ft-Commercial-Land-FOR-Sale-in-Bangalore&id=4d423538303333303239"," Commercial Land for Resale in ","2025-07-27T17:35:02.000Z",,"12838400","6800","₹","commercial property, corner site south west facing, cmc, immediate sale, no brokers",,,,,,,,,,,,"Acharya college, krishna college, chikkabhanavara railway station",,"Likitha Reddy",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"79808111","2325-Sq-ft-Commercial-Land-FOR-Sale-Doddaballapur-in-Bangalore&id=4d423739383038313131"," Commercial Land for Resale in Doddaballapura","2025-07-27T22:30:38.000Z",,"19500000","8387","₹",,,,"19201|Apparel Park Doddabalapura","19201|More Supermarket - Doddaballapur","19202|Msv Public School","19202|Lavanya Composite PU College","19203|Jain Clinic","19203|Columbia Asia Hospital - Doddaballapur","19210|Doddaballapur Railway Station","19210|Doddaballapura Old Bus Stand Bus Stop",,"Doddaballapura Railway station","13.290431,77.539701","nagesh",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"78579907","32670-Sq-ft-Commercial-Land-FOR-Sale-Doddaballapur-Main-Road-in-Bangalore&id=4d423738353739393037"," Commercial Land for New Property in Doddaballapur Main Road","2025-07-25T17:35:01.000Z",,"36000000","1102","₹","post project of the Bengaluru circular railway project.",,,"19202|BMS Institute of Technology","19202|Sicicon City Public School","19203|Rajdhani Nursing Home","19203|Nandi Multispeciality Hospital","19210|Rajanukunte Railway Station",,,,,"oddarahalli railway station Doddaballapur","13.20134058,77.56059071","Shanth Kumar",,,"12800",,,"North - East",,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Mar/27/Photo_h180_w240/78579907_19_1743051323821-59723_180_240.jpg"
"64990355","3260-Sq-ft-Commercial-Land-FOR-Sale-Kogilu-in-Bangalore&id=4d423634393930333535"," Commercial Land for New Property in Kogilu","2025-08-03T17:35:02.000Z",,"32600000","10000","₹","Commercial land is available for sale. It is a good location property. Please contact for more details.",,,"19201|Kogilu Cross","19201|Perfect Laundry Solutions","19202|Vidyaarna Education Trust","19202|National Public School","19203|Amruth Hospital","19203|Sri Chowdeshwari Child Clinic",,,,,"13.0992238,77.609323","Satish",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"69971051","18000-Sq-ft-Commercial-Land-FOR-Sale-Jigani-in-Bangalore&id=4d423639393731303531"," Commercial Land for New Property in Jigani","2025-07-11T17:35:02.000Z",,"99000000","5500","₹",,,,"19201|Infion Advanced Laser Systems Pvt. Ltd","19201|Royal Suites","19202|M Tress School","19202|Global Indian International School (Giis)","19203|Vijayashree Hospital","19203|YK Hospital","19210|Navya Badavane Bus Stop",,,,"12.77952541,77.64327886","sathish",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"65032239","54450-Sq-ft-Industrial-Land-FOR-Sale-Anekal-in-Bangalore&id=4d423635303332323339"," Industrial Land for Resale in Anekal","2025-07-12T17:35:01.000Z",,"60493950","1111","₹","Industrial land for sale on anekal-jigani road suitable for industrial purpose, warehouse purpose and other activities.","This prime industrial land for sale in Anekal, spreads over a land area of 54450.0 square feet. This can come at a reasonable price of ₹6.04 Cr. The land is located adjacent to a road of 10m. This industrial land for sale is located at Anekal, Bangalore - South, Karnataka.",,"19201|Dhavanam Super Market","19201|More Mega Store Anekal Branch","19202|St Joseph High Scool","19202|New Baldwin International Residential School Anekal","19203|Aditi Multi Speciality Hospital","19203|Aditi Hospital Anekal","19210|Vishwakarma Mandir Bus Stop","19210|Anekal Bus Stop",,,"12.7187505,77.7017436","Nikhil",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Jan/09/Photo_h180_w240/65032239_1_PropertyImage731-3727627670336_180_240.jpg"
"67830087","6000-Sq-ft-Commercial-Land-FOR-Sale-Okalipuram-in-Bangalore&id=4d423637383330303837"," Commercial Land for Resale in Okalipuram, Srirampuram","2025-08-09T17:35:02.000Z",,"115000000","19167","₹","Commercial land is available for sale. It has area of 6000 sq-ft, it is a good location property. Please contact for more details.",,,"19202|Best Civil Services Coaching ",,,,,,,,,"Lullu mall, shell petrol station.","12.98389313,77.56583354","Sridharan V",,,"12850",,,"East",,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Oct/02/Photo_h180_w240/67830087_5_PropertyImage819-9669531047309_180_240.jpg"
"57497843","2400-Sq-ft-Commercial-Land-FOR-Sale-RamoHalli-in-Bangalore&id=4d423537343937383433"," Commercial Land for Resale in Ramohalli","2025-07-23T21:31:13.000Z",,"7200000","3000","₹",,,,"19202|Udhbhavaha Community School","19202|Sri Tarabalu Jagadguru High School",,,,,,,,,"12.9055751,77.421337","RAMESH K",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2021/Oct/12/Photo_h180_w240/57497843_5_87bddf3-2140-49e0-86c4-2d08a16a20a6_180_240.jpeg"
"74706485","2400-Sq-ft-Commercial-Land-FOR-Sale-Bannerghatta-Main-Road-in-Bangalore&id=4d423734373036343835"," Commercial Land for Resale in Bannerghatta Main Road","2025-07-21T05:17:38.000Z",,"35000000","14583","₹","Commercial land is available for sale. It has plot area of 2400 sq-ft, it is a good location property. Please contact for more details.",,,"19201|Billekahalli Industrial Area","19201|IBC Knowledge Park","19202|Royal English High School","19202|Amc Engineering College","19203|Apollo Sugar Clinics & Hospital | Best Endocrinologiest","19203|Fortis Hospital, Bannerghatta Main","19210|Upcoming Pink Line: Gottigere (Kalena Agrahara) ? Nagawara",,,,"12.87052719,77.59332459","Suresh babu",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
