Project Name,Total Length (in Km),Length Completed (in Km),Physical Progress,The expected operational date
Six laning of Bengaluru-Nidagatta section of NH-275 (Package-I),56.2,48,85,"May, 2022"
Six laning of Nidagatta-Mysuru section of NH-275 (Package-II),61.1,34,80,"September, 2022"
