state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,households,house_connection_by_pws,ispws,gen_current_pop,sc_current_pop,st_current_pop,total_current_pop,water_quality_contamination,update_date
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Mugalur,Mugalur,0000373524,425,148,Yes,1480,1070,0,2550,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,"Deshpande Guttahalli","Deshpande Guttahalli",0000373530,19,0,Yes,45,42,3,90,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,"S. Medihalli",Thyavakanahalli,0000373540,274,0,Yes,1258,150,0,1408,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,Kommasandra,Kommasandra,0000373556,281,118,Yes,785,200,0,985,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,Muthanallur,"Muthanallur Amanikere",0000373558,76,0,Yes,274,1,5,280,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,Muthanallur,Muthanallur,0000373559,638,275,Yes,1280,650,40,1970,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Chikkadasarahalli,Chikkadasarahalli,0000373563,130,0,Yes,356,235,0,591,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Ramanayakanahalli,Ramanayakanahalli,0000373566,115,0,Yes,320,245,0,565,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Chookasandra,Chookasandra,0000373576,102,55,Yes,254,213,0,467,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Shantipura,"Chikka Nagamangala",Vaddarapalya,0000373586,768,0,Yes,2465,801,46,3312,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Shantipura,Rayasandra,Rayasandra,0000373589,2128,246,Yes,6051,2899,404,9354,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Dommasandra,Dommasandra,Dommasandra,0000373592,3687,672,Yes,15000,610,60,15670,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ballur,Dasanapura,Dasanapura,0001622876,509,205,Yes,923,492,120,1535,NA,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Dyavasandra,Dyavasandra,0001622880,144,0,Yes,217,429,5,651,NA,2024-06-07
