state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,Menaseganahalli,Menaseganahalli,0000373303,0000056452,"Govt. Lower Primary School",5,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Vannakanahalli,"Kempudommasandra (b)",Kempadommasandra,0000373304,0000056454,"Govt. Lower Primary School",10,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Marsoor,Bandapura,Bandapura,0000373313,0000056468,"Govt. Lower Primary School",19,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Kumbarahalli,Kumbarahalli,0000373347,0000056501,"Govt. Lower Primary School",18,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Mahanthalingapura,Mahanthalingapura,0000373373,0000056535,"Govt. Lower Primary School",18,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Laxmipura,Laxmipura,0000373413,0000056577,"Govt. Lower Primary School",12,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ballur,Kodlipura,Kodlipura,0000373485,0000056627,"Govt. Primary School",8,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bidaraguppe,Mallenahallli,Malenahalli,0000373500,0000056650,"Govt. primary School",23,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Samandur,Samandur,0000373270,0002740382,"GLPS Bikkanahalli",11,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Madappanadoddi,"Madappana Doddi",0000373377,0001963040,"Govt. Lower Primary School",32,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,Laxmipura,Sampangiramanagara,0000373414,0002740467,GLPS,16,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,Sampigehalli,Sampigehalli,0000373433,0002736972,"Govt Lower Primary School",86,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ragihalli,Sollepuradoddi,Sollepuradoddi,0000373453,0001969973,"Govt Lower primary school",30,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ragihalli,Ramanayakanadoddi,Ramanayakanadoddi,0000373465,0001969938,"Govt Lower primary School",20,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Krishnasagara,Krishnasagara,0000373473,0002227469,"Govt. Lower Primary School",33,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,"Pandithana Agrahara","Pandithana Agrahara",0000373525,0001880846,"GLPS, Panditha Agrahara (Rajev Gandhi nagara)",13,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,"Pandithana Agrahara","Pandithana Agrahara",0000373525,0000056690,"Govt. Lower Primary School",5,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Yamare,Sompura,Sompura,0000373545,0000056711,"Govt. Lower Primary School",53,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,"Ali Bommasandra","Ali Bommasandra",0000373557,0000056728,"Govt. Lower Primary School Banahalli",93,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,"Ali Bommasandra","Ali Bommasandra",0000373557,0002740461,GLPS,22,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Muthanallur,"Singena Agrahara","Singena Agrahara",0000373562,0000056737,"Govt. higher Primary School",16,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neriga,Kathriguppe,Kathriguppe,0000373567,0000056744,"Govt. Lower Primary School",10,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Huskuru,Harohalli,Harohalli,0000373575,0000056753,"Govt. Lower Primary School",12,Govt.,"Primary only with grades 1 to 5",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Marnayakanahalli,Marnayakanahalli,0000373274,0000056416,"Govt. Higher Primary School",19,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Karpoor,Karpoor,Karpoor,0000373278,0000056422,"Govt. Higher Primary School",43,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Karpoor,Bestamanahalli,Bestamanahalli,0000373279,0000056424,"Govt. Higher Primary School",9,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Sidihoskote,Sidihoskote,0000373291,0000056439,"Govt. higher Primary School",43,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,"Chikka Hosahalli","Chikka Hosahalli",0000373317,0000056470,"Govt. Upper Primary School",45,Govt.,"Upper Primary with grades 1 to 8",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Mysoorammanadoddi,Mysooramanadoddi,0000373331,0002741992,GLPS,8,Govt.,"Primary only with grades 1 to 5",2024-06-07
