Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),1,PS (I-V) ,7,Ph.D,5,Others,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),7,SS (VI-X),8,Post Doctoral,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,1,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),6, SS (I-X) ,5,Post graduate,2,Bachelor of Elementary Education (B.El.Ed.),8,9,0,0,6,15,0,2,11,22,4,1,4,13,2,1,0,2,100,35,65
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),1,PS (I-V) ,5,Post graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),5, HSS (VI-XII),5,Post graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,5,Post graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,2,0,0,0,1,10,1,2,0,1,0,0,2,2,0,0,0,2,23,6,17
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),7,SS (VI-X),5,Post graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,1,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,10,4,6
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,5,Post graduate,2,Bachelor of Elementary Education (B.El.Ed.),4,1,0,0,0,2,0,2,2,2,2,2,1,3,0,0,0,1,22,9,13
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),11,HSS (XI-XII),5,Post graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,26,17,9
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),1,PS (I-V) ,5,Post graduate,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,5,3,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),6, SS (I-X) ,5,Post graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,2,1,0,0,12,11,2,1,4,12,0,0,9,10,0,0,0,0,64,29,35
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),3,HSS (I-XII),5,Post graduate,2,Bachelor of Elementary Education (B.El.Ed.),1,1,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,10,2,8
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),3,HSS (I-XII),5,Post graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,5,2,3
2018-19,29,Karnataka,2921,BENGALURU RURAL,90,Social welfare Department,7,SS (VI-X),5,Post graduate,2,Bachelor of Elementary Education (B.El.Ed.),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,90,Social welfare Department,7,SS (VI-X),7,Ph.D,2,Bachelor of Elementary Education (B.El.Ed.),1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,90,Social welfare Department,7,SS (VI-X),4,Graduate,6,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),11,HSS (XI-XII),8,Post Doctoral,5,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4
2018-19,29,Karnataka,2921,BENGALURU RURAL,2,Tribal Welfare Department,5, HSS (VI-XII),3,Higher secondary,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),11,HSS (XI-XII),8,Post Doctoral,6,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,5,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,90,Social welfare Department,7,SS (VI-X),4,Graduate,7,Diploma/degree in special education,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,90,Social welfare Department,7,SS (VI-X),3,Higher secondary,5,Others,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2018-19,29,Karnataka,2921,BENGALURU RURAL,90,Social welfare Department,7,SS (VI-X),4,Graduate,3,B.Ed. or equivalent,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,90,Social welfare Department,4,UPS (VI-VIII) ,5,Post graduate,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,90,Social welfare Department,7,SS (VI-X),3,Higher secondary,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),8,SS (IX-X),4,Graduate,3,B.Ed. or equivalent,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),5, HSS (VI-XII),4,Graduate,4,M.Ed. or equivalent,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),7,SS (VI-X),4,Graduate,3,B.Ed. or equivalent,0,1,0,0,0,0,0,0,0,1,0,0,3,9,0,1,0,0,15,3,12
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),2,UPS (I-VIII) ,4,Graduate,4,M.Ed. or equivalent,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,7,2,5
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),11,HSS (XI-XII),4,Graduate,3,B.Ed. or equivalent,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,4,0,4
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),5, HSS (VI-XII),4,Graduate,5,Others,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2018-19,29,Karnataka,2921,BENGALURU RURAL,5,Private Unaided (Recognized),3,HSS (I-XII),4,Graduate,5,Others,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
