Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,4,Graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,11,27,0,1,9,64,2,3,0,0,0,0,0,0,117,22,95
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,1,PS (I-V) ,4,Graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,6, SS (I-X) ,4,Graduate,2,Bachelor of Elementary Education (B.El.Ed.),1,0,0,0,0,0,0,1,1,1,1,0,2,2,1,0,0,0,10,6,4
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),4,Graduate,3,B.Ed. or equivalent,21,3,0,0,2,0,0,0,5,2,0,0,85,68,5,3,0,0,194,118,76
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,3,Higher secondary,7,Diploma/degree in special education,0,0,0,0,0,3,0,0,1,15,0,0,0,0,0,0,0,0,19,1,18
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,4,Graduate,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,1,3,1,0,7,3,0,0,0,0,0,0,0,0,15,9,6
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,4,Graduate,4,M.Ed. or equivalent,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,4,3,1
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),4,Graduate,1,Diploma or certificate in basic teachers training of a duration not less than two years,1,2,0,0,3,2,0,0,1,4,0,0,44,83,1,0,0,0,141,50,91
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,4,Graduate,3,B.Ed. or equivalent,0,0,0,0,2,4,0,2,2,8,1,0,0,5,0,0,1,1,26,6,20
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,3,Higher secondary,6,None,0,0,0,0,0,3,0,0,5,6,0,0,0,0,0,0,0,1,15,5,10
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),3,Higher secondary,6,None,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,4,4
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,2,Secondary,1,Diploma or certificate in basic teachers training of a duration not less than two years,0,0,0,0,1,10,0,1,0,9,1,4,0,0,0,0,0,0,26,2,24
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),3,Higher secondary,5,Others,2,1,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,16,14,2
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,7,SS (VI-X),2,Secondary,2,Bachelor of Elementary Education (B.El.Ed.),0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,3,2
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,3,Higher secondary,5,Others,0,0,0,0,1,5,1,0,2,5,0,0,1,0,0,0,0,0,15,5,10
2018-19,29,Karnataka,2928,BENGALURU U NORTH,4,Government Aided,2,UPS (I-VIII) ,2,Secondary,3,B.Ed. or equivalent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
