state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban",Anekal,Marsoor,Marsoor,Marsoor,0000373309,0004873915,4800655,"Deep Tubewell","Ground Water","Tank Bed","Providing Piped Water Supply Scheme",2012-2013,20.00000,0.00000,"20 Sep 2012","20 Jan 2014",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Haragadde,Nayanahalli,Nayanahalli,0001622885,0004878955,4805464,"Deep Tubewell","Ground Water","Colony Road","Revival of MWS Scheme",2012-2013,5.00000,1.57794,"20 Sep 2012","30 Nov 2012",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mantapa,"Chinnaiahna Palya",Chinnaiahanapalya,0000373424,0004879267,4805721,"Deep Tubewell","Ground Water","Towards Main Road","Revival of MWS Scheme",2012-2013,5.00000,4.99997,"20 Sep 2012","01 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Mattanahalli,Mattanahalli,0000373521,0004886457,4812468,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2012-2013,8.50000,7.78926,"15 Sep 2012","31 Jan 2013",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Mugalur,Mugalur,0000373524,0004886499,4812516,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2012-2013,7.00000,6.36815,"15 Sep 2012","20 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,Byrappanahalli,Byrappanahalli,0000373429,0004892701,4818179,"Deep Tubewell","Ground Water","Towards Sampigehall Road","Providing Piped  Water Supply Scheme",2012-2013,22.00000,9.80148,"20 Sep 2012","01 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bannerghatta,Bannerughatta,Bannerghatta,0000373430,0004892756,4818223,"Deep Tubewell","Ground Water","Extension Areas","Revival of PWS Scheme",2012-2013,28.50000,28.49990,"15 Sep 2012","15 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Ramakrishnapura,Ramakrishnapura,0001622888,0004893194,4818563,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2012-2013,5.00000,4.95199,"20 Sep 2012","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Bidaraguppe,Mallenahallli,Malenahalli,0000373500,0004933403,4854275,"Deep Tubewell","Ground Water",GHPS,"School Water Supply",2012-2013,1.00000,0.99858,"20 Sep 2012","10 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,Handenahalli,Handenahalli,0000373542,0004933405,4854277,"Deep Tubewell","Ground Water",GHPS,"School Water Supply",2012-2013,1.00000,0.99985,"15 Sep 2012","10 Mar 2013",2024-06-07
