state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban","Bangalore South","Dodda Thogur",Mailasandra,Mailasandra,0000373955,0005508558,5444477,"Deep Tubewell","Ground Water","Towards Main road","Revival of PWS Scheme",2013-2014,16.00000,16.33429,"25 Aug 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","Dodda Thogur",Mailasandra,Mailasandra,0000373955,0006943840,250080225,"Deep Tubewell","Ground Water","Near Begur Rajareddy Land","G TFC130315 Drilling of Borewell at Mailasandra Habitaion, Doddathogur GP, Bangalore South Taluk",2014-2015,2.20000,2.18287,"20 Apr 2015","31 Mar 2016",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","Dodda Thogur",Mailasandra,Mailasandra,0000373955,0007532034,250147223,"Deep Tubewell","Ground Water","village limit","G Revival of MWS scheme at Mylasandra Habitation,Doddathoguru GP, Bangalore south taluk",2016-2017,10.00000,8.69085,"01 Sep 2016","31 Dec 2018",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","Dodda Thogur",Mailasandra,Mailasandra,0000373955,0007999575,250147223,"Deep Tubewell","Ground Water","village limit","10crore Revival of PWS scheme, Providing Pump Motor at Mailsandra village, Doddathoguru GP, Bangalore South Taluk",2020-2021,5.00000,4.97366,"16 Jun 2020","03 May 2023",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","K. Golahalli",Thippur,Thippur,0000374151,0005359182,5295799,"Deep Tubewell","Ground Water","Village limit","Drilling of BW",2012-2013,1.00000,0.00000,"19 Mar 2013","20 May 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Taralu,Gulakamale,Gulakamale,0000374066,0005359436,5296071,"Deep Tubewell","Ground Water","Village Limits","Drilling of Borewell",2012-2013,1.00000,1.20712,"19 Mar 2013","30 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","K. Golahalli",Tagachaguppe,"Tagachaguppe Colony",0000374175,0005360192,5296843,"Deep Tubewell","Ground Water",Rangajangamashale,"Drilling of BW",2012-2013,1.00000,0.99856,"19 Mar 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Ramohalli,Kodipalya,Kodipalya,0000374193,0005360209,5296865,"Deep Tubewell","Ground Water","Siddarooda ashram","Drilling of BW",2012-2013,1.00000,1.72472,"19 Mar 2013","01 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Sullikere,Ramasandra,Ramasandra,0000374214,0005360223,5296879,"Deep Tubewell","Ground Water","Village limit","Drilling of BW",2012-2013,1.00000,1.94820,"19 Mar 2013","01 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Chunchanakuppe,Chunchanakuppe,Chunchanakuppe,0000374434,0005360257,5296908,"Deep Tubewell","Ground Water","Village limit","Errection of Cistern",2012-2013,2.50000,2.45896,"19 Mar 2013","01 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","Konappana Agrahara",Govindashettipalya,Govindashettipalya,0000373979,0005363300,5300310,"Deep Tubewell","Ground Water","Village limit","Drilling of BW",2012-2013,1.60000,1.87910,"07 Mar 2013","31 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Agara,Banjarupalya,Banjarupalya,0000374140,0005364413,5301421,"Deep Tubewell","Ground Water","Village limit","Drilling of BW",2012-2013,1.63000,1.63000,"22 Oct 2012","31 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Chikkanahalli,Chikkanahalli,Gundappanapalya,0000374227,0005517803,5455859,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,5.02240,"15 Sep 2013","31 Mar 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Taralu,Gulakamale,Gulakamale,0000374066,0005518844,5457329,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,5.45873,"15 Sep 2013","15 Jan 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kaggalipura,Baadekatte,Baddekate,0000374056,0005518948,5457501,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,4.77889,"10 Sep 2013","14 Jan 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Nelaguli,Veerasandra,Veerasandra,0000374086,0005519109,5457845,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,4.62614,"10 Sep 2013","01 Mar 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Somanahalli,Thopuru,Thopuru,0000374083,0005519127,5457860,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,4.60589,"10 Sep 2013","22 Jul 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South","K. Golahalli","K. Gollahalli",Vasantanahalli,0000374160,0005519200,5457988,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,10.00000,0.00000,"10 Sep 2013","15 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Agara,Agara,"Agara Jhc",0000374138,0005519285,5458101,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,4.97747,"10 Sep 2013","20 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Chikkanahalli,Dodderi,"D.r. Thandya",0000374478,0005554108,5507654,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,4.85699,"15 Sep 2013","02 Jan 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kumbalagodu,Kanaminake,Kanaminake,0000374177,0005581649,5541622,"Deep Tubewell","Ground Water","Village limit","Revival of PWS Scheme",2013-2014,8.00000,8.15396,"12 Sep 2013","03 Mar 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Ramohalli,Bheemanakuppe,Bheemanakuppe,0000374190,0005587690,5547541,"Deep Tubewell","Ground Water","Village limit","Revival of MWS Scheme",2013-2014,5.00000,4.83615,"15 Sep 2013","20 Jan 2014",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Agara,Thataguni,Tataguni,0000374141,0004865018,4791875,"Deep Tubewell","Ground Water","Village Limit","Revival of PWS Scheme",2012-2013,10.00000,9.98998,"15 Sep 2012","03 Dec 2012",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Ramohalli,Maragondanahalli,Maragondanahalli,0000374200,0004865552,4792381,"Deep Tubewell","Ground Water","Village Limit","Revival of MWS Scheme",2012-2013,5.00000,0.00000,"15 Sep 2012","25 Feb 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kumbalagodu,Kambipura,Kambipura,0000374180,0004866011,4792847,"Deep Tubewell","Ground Water","Towards Main Road","Revival of MWS Scheme",2012-2013,5.00000,4.98251,"13 Sep 2012","20 Mar 2013",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore South",Kumbalagodu,Kaarubele,Karabele,0000374183,0004866029,4792862,"Deep Tubewell","Ground Water","Village Limit","Revival of MWS Scheme",2012-2013,5.00000,4.70908,"15 Sep 2012","20 Mar 2013",2024-06-07
