state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban","Bangalore East",Kittaganuru,"Kurudu Sonnenahalli","Kurudu Sonnenahalli",0000374333,0001063382,125380,"Deep Tubewell","Ground Water",NA,Villagelimit,2007-2008,3.50000,3.49500,"18 Jan 2008","26 Dec 2008",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Mandur,Thirumenahalli,Thirumenahalli,0000374322,0000907845,125500,"Deep Tubewell","Ground Water",NA,Villagelimit,2006-2007,10.80000,0.00000,"01 Jan 1900","01 Jan 1900",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Bidarahalli,"Kada Agrahara","Kada Agrahara",0000374316,0000444742,127532,"Deep Tubewell","Ground Water",NA,"village limit",2007-2008,4.50000,1.59000,"23 Nov 2007","21 Jul 2008",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Doddabanahalli,"Bidare Agrahara","Bidare Agrahara",0000374346,0001300872,129645,"Deep Tubewell","Ground Water",NA,"Village Limit",2007-2008,3.50000,3.49000,"13 Nov 2008","09 Feb 2009",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Kittaganuru,Halehalli,Halehalli,0000374338,0002597401,2402739,"Deep Tubewell","Ground Water","Village limits","Providing community terrafil unit at Halehalli in Bangalore East Taluk",2010-2011,0.55000,0.00000,"01 Apr 2010","28 Feb 2012",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Bidarahalli,Gundur,Gundur,0000374310,0002597606,2402911,"Deep Tubewell","Ground Water","Village limits","Providing community terrafil unit at Gundur village in Bangalore East Taluk",2010-2011,2.20000,0.00000,"01 Apr 2010","01 Jul 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Bidarahalli,Adur,Adur,0000374315,0002599127,2404571,"Deep Tubewell","Ground Water","Village Limits","Providing community terrafil unit at Sulikunte village in Bangalore East Taluk",2010-2011,1.65000,0.00000,"01 Apr 2010","01 Jul 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Kodathi,Mullur,Mullur,0000374284,0002599225,2404675,"Deep Tubewell","Ground Water","Village Limits","Providing community terrafil unit at Mullur village in Bangalore East Taluk",2010-2011,2.20000,0.00000,"01 Apr 2010","01 Jul 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Mandur,Huskur,Huskur,0000374329,0002599379,2404844,"Deep Tubewell","Ground Water","Village limits","Providing community terrafil unit at Huskur village in Bangalore East Taluk",2010-2011,2.20000,0.00000,"01 Apr 2010","01 Jul 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Doddabanahalli,Katamnallur,Katamnallur,0000374343,0002599464,2404943,"Deep Tubewell","Ground Water","Village limits","Providing community terrafil unit Katamnallur village in Bangalore East Taluk",2010-2011,3.30000,0.00000,"01 Apr 2010","01 Jul 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Doddabanahalli,Katamnallur,Katamnallur,0000374343,0007148696,2404943,"Deep Tubewell","Ground Water","Village limits","SW Drinking Water Facility to School",2015-2016,1.00000,0.00000,"25 Oct 2015","31 Mar 2016",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Halanayakanahalli,Halanayakanahalli,Halanayakanahalli,0000374292,0003110350,2956421,"Deep Tubewell","Ground Water","Near Muthappans House Chikkanayakana Dinne","Near Muthappans House Chikkanayakana Dinne","Not Known",0.90000,0.00000,"23 Nov 2010","23 Nov 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Halanayakanahalli,Chikkanayakanahalli,Chikkanayakanahalli,0000374291,0003110353,2956424,"Deep Tubewell","Ground Water","Beside Kodathi Road College, Chikkanayakanahalli Dinne","Beside Kodathi Road College, Chikkanayakanahalli Dinne","Not Known",0.90000,0.00000,"23 Nov 2010","23 Nov 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Halanayakanahalli,Halanayakanahalli,Halanayakanahalli,0000374292,0003168076,3018606,"Deep Tubewell","Ground Water","Near Lake","Near Lake","Not Known",0.90000,0.00000,"25 Nov 2010","25 Nov 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Halanayakanahalli,Halanayakanahalli,Halanayakanahalli,0000374292,0003168175,3018705,"Deep Tubewell","Ground Water","Burial Ground","Burial Ground","Not Known",0.90000,0.00000,"25 Nov 2010","25 Nov 2010",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore East",Kodathi,Kodathi,Kodathi,0000374288,0003173161,3023931,"Deep Tubewell","Ground Water","Kodathi Near Mata","Kodathi Near Mata","Not Known",0.90000,0.00000,"25 Nov 2010","25 Nov 2010",2024-06-07
