country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB","12-11-2025 02:00:00",25.262326,82.995408,PM10,97,162,122
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB","12-11-2025 02:00:00",28.9535882,77.7622941,CO,26,110,92
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","12-11-2025 02:00:00",29.063510,77.709723,NH3,10,16,13
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","12-11-2025 02:00:00",29.063510,77.709723,OZONE,20,177,43
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","12-11-2025 02:00:00",28.83526,78.74460,NH3,4,5,5
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","12-11-2025 02:00:00",28.83526,78.74460,CO,38,52,45
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","12-11-2025 02:00:00",28.88528,78.73880,PM2.5,NA,NA,NA
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","12-11-2025 02:00:00",28.88528,78.73880,CO,2,70,6
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB","12-11-2025 02:00:00",26.90723,80.98579,PM2.5,44,172,101
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB","12-11-2025 02:00:00",26.8458805,80.9365541,SO2,2,16,8
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB","12-11-2025 02:00:00",28.999264,77.7590354,PM2.5,69,344,252
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB","12-11-2025 02:00:00",28.999264,77.7590354,NO2,36,116,73
