state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,anganwadi_id,anganwadi_name,no_of_student,anganwadi_category,update_date
Karnataka,"Bengaluru Urban",Anekal,Marsoor,Shettihalli,Shettihalli,0000373314,0001327807,Shettihalli,46,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Karpoor,Rachamanahalli,Rachamanahalli,0000373280,0000056427,Rachamanahalli,39,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Marnayakanahalli,Marnayakanahalli,0000373274,0000056417,Marnayakanahalli,45,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Hompalgatta,Hompalgatta,0000373265,0001834884,HOMPALATTA,56,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Samandur,Muthagatti,Muthagatti,0000373263,0000056399,"Muttagatti Janatha Colony",35,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Handenahalli,Sollepura,Sollepura,0000373543,0001833296,Sollepura,63,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Mugalur,Mugalur,0000373524,0001880774,Mugalur-B,68,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Mugalur,Bovipalya,"Kuthaganahalli Bovi Palya",0000373523,0001880468,Bovipalya,24,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Sarjapura,Sarjapura,Sarjapura,0000373516,0001804936,"sarjapura Kumbara Bheedi",61,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ballur,Arehalli,Arehalli,0000373483,0001327824,Arehalli,39,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Neralur,Neralur,0000373479,0002575933,Raghavanagara,66,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Neralur,Neralur,Neralur,0000373479,0002228243,Sainagara,82,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Kachanayakanahalli,Kachanayakanahalli,0000373402,0000056568,"Kachanayakanahalli A",71,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Yarandahalli,Yarandahalli,0000373399,0001770864,"Yarandahalli Janatha Colony",97,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hennagara,Hennagara,Hennagara,0000373394,0001770200,"Hennagara B",60,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Shikaripalya,Shikaripalya,0000373393,0002058377,"Shikaripalya A",131,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Shikaripalya,Shikaripalya,0000373393,0000056553,"Shrikaripalya B",138,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Hulimangala,Podu,Podu,0000373390,0002058327,Podu,78,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Kallabalu,Mahanthalingapura,Mahanthalingapura,0000373373,0000056536,Mahanthalingapura,106,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Surgajakanahalli,Surgajakanahalli,Surgajakanahalli,0000373297,0000056445,Badarahalli,50,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Yamare,Chambenahalli,Chambenahalli,0000373552,0001328009,Chambenahalli,64,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Yamare,"B. Hosahalli","B. Hosahalli",0000373547,0000056714,"B Hosahalli",54,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Ragihalli,Sevanayakanadoddi,Sevanayakanadoddi,0000373464,0001327955,Sevaramanayakanadoddi,44,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Indlawadi,Indlawadi,0000373330,0000056485,"Indlawadi A",62,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Bangladoddi,Bangaladoddi,0000373329,0001326901,Bangaladoddi,19,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Indlawadipura,Indlawadipura,0000373327,0001799324,Indlawadipura,35,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Choodahalli,Choodahalli,0000373326,0000056482,Choodahalli,38,Govt.,2024-06-07
Karnataka,"Bengaluru Urban",Anekal,Indlawadi,Karakalaghatta,Karikalgatta,0000373318,0001799367,Karikalgatta,32,Govt.,2024-06-07
