state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
Karnataka,"Bengaluru Urban","Bangalore North",Kittanahalli,Mallasandra,Mallasandra,0000373725,0000420284,127027,"Deep Tubewell","Ground Water",NA,MWSS,2006-2007,2.80000,2.00000,"27 Oct 2006","26 Jul 2007",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kittanahalli,Kenganahalli,Kenganahalli,0000373716,0000420263,127540,"Deep Tubewell","Ground Water",NA,MWSS,2006-2007,3.00000,2.31000,"05 Oct 2006","22 Aug 2007",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Sondekoppa,Venkatapura,Venkatapura,0000373734,0000420276,128273,"Deep Tubewell","Ground Water",NA,MWSS,2006-2007,2.80000,2.08000,"26 Oct 2006","20 Jun 2007",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Dasanapura,Nagarur,Marappanapalya,0000373672,0000556507,128668,"Deep Tubewell","Ground Water",NA,"Revival of MWS",2007-2008,3.70000,1.50000,"10 Apr 2008","22 Jul 2008",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kodigehalli,Gangadipura,Gongadipura,0000373628,0000556591,129737,"Deep Tubewell","Ground Water",NA,"Revival of MWS",2007-2008,3.70000,1.65000,"12 Mar 2008","22 Aug 2008",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Dasanapura,Dasanapura,Dasanapura,0000373660,0000420207,129835,"Deep Tubewell","Ground Water",NA,PWSS,2006-2007,4.00000,1.48000,"09 Dec 2006","08 Aug 2007",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Lakshmipura,Gangondanahalli,Gangondanahalli,0001622923,0000545879,132195,"Deep Tubewell","Ground Water",NA,villagelimit,2006-2007,13.05000,0.69000,"18 Jul 2007","17 Mar 2008",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Dasanapura,Dasanapura,Dasanapura,0000373660,0003808409,3674141,"Deep Tubewell","Ground Water","BW- Narayanamma house (Sa. No. 04)",Borewell,2009-2010,1.20000,1.20000,"05 May 2009","05 Jun 2009",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Dasanapura,Dasanapura,Dasanapura,0000373660,0003808434,3674166,"Deep Tubewell","Ground Water","BW- Near ganapathi temple (Sa. No. 05)",Borewell,2009-2010,1.20000,1.20000,"05 May 2009","05 Jun 2009",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Siddanahosahalli,Dombarahalli,Dombarahalli,0000373708,0003604579,3469381,"Deep Tubewell","Ground Water","Village Limit","Additional Pipe Line",2011-2012,2.30000,0.00000,"15 Jun 2011","15 Mar 2012",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Huskur,Narasipura,Narasipura,0000373692,0003604621,3469420,"Deep Tubewell","Ground Water","Village Limit","Additional Pipe Line",2011-2012,4.00000,0.00000,"15 Jun 2011","15 Mar 2012",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Chikkabanawara,Chikkabanawara,Chikkabanawara,0000373644,0003604641,3469439,"Deep Tubewell","Ground Water","Village Limit","Additional Pipe Line",2011-2012,8.00000,0.00000,"15 Jun 2011","15 Mar 2012",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Madanayakanahalli,Madanayakanahalli,Madanayakanahalli,0000373703,0003638712,3503495,"Deep Tubewell","Ground Water","Near Road Side","Pipeline Extension",2011-2012,5.00000,0.00000,"20 Jul 2011","15 Mar 2012",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Gopalapura,Thotagere,Thotagere,0000373772,0003638793,3503574,"Deep Tubewell","Ground Water","Near Road Sidd","Pipeline Extension",2011-2012,3.50000,0.00000,"20 Jul 2011","15 Mar 2012",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Alur,Kuduragere,Kuduragere,0000373698,0006849635,2407643,"Deep Tubewell","Ground Water","village limit","TFC 20.10.2014 Drilling of Borewell in Basaveshwara badavane in  kudaragere habitation",2014-2015,2.00000,1.99922,"10 Dec 2014","18 Mar 2015",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Madanayakanahalli,Madanayakanahalli,Madanayakanahalli,0000373703,0002615577,2421786,"Deep Tubewell","Ground Water","Village Limits","community terafil units",2010-2011,5.50000,0.00000,"04 Nov 2010","29 Mar 2011",2024-06-07
Karnataka,"Bengaluru Urban","Bangalore North",Kittanahalli,Mallasandra,"Mallasandra J H C",0000373726,0002615595,2421800,"Deep Tubewell","Ground Water","Village Limits","Community Terafil Units",2010-2011,0.55000,0.00000,"04 Nov 2010","29 Mar 2011",2024-06-07
