"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"60055783","13500-Sq-ft-Industrial-Building-FOR-Sale-Kamakshipalya-in-Bangalore&id=4d423630303535373833"," Industrial Building for Resale in Kamakshipalya, Outer Ring Road","2025-08-17T17:35:02.000Z","Internet/Wi-Fi Connectivity,Service/Goods Lift,Intercom Facility","52400000","3881","₹","50m to magadi main road . 900m to vijayanagar","This Industrial building is availFable for sale in Kamakshipalya is spread across a super built up area of 13500 square feet, and is priced at a reasonable rate of ₹5.24 Cr. One can own this industrial building for just Rs 100000. Catering to your needs this industrial building comes with all basic internet/wi-fi connectivity,service/goods lift,intercom facility. The industrial building is over 5 to 10 years years old. The landmark soundarya kamakshi appartments is situated near this industrial building  This is the specific address is Kamakshipalya, Bangalore - Central, Karnataka of this industrial building on sale.",,"19201|Petechannappa Industrial Area","19202|Maruthi Vidya Mandir","19203|St Meera High School","19203|Benaka Hospital",,,,,"soundarya kamakshi appartments","12.9871685,77.524754","daksh",,,,,,"North - East",,"Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2022/Mar/17/Photo_h180_w240/60055783_16_PropertyImage275-2412573685804_180_240.jpg"
"67526041","3340-Sq-ft-Industrial-Building-FOR-Sale-Peddanapalya-in-Bangalore&id=4d423637353236303431"," Industrial Building for Resale in Peddanapalya","2025-08-16T17:35:02.000Z",,"10000000","2994","₹","Industrial building is available for sale.","Positioned it well at Peddanapalya this Industrial building at ₹1 Cr has 3340 square feet is up for sale. The industrial building is the easily reachable address of Peddanapalya, Bangalore - West, Karnataka.",,,,,,,,,,,"12.95880053,77.38970847","Manikanta Ch",,,,,,,,"Bangalore",,"Bangalore, Karnataka","3340",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Jun/15/Photo_h180_w240/67526041_2_PropertyImage948-6474572182009_180_240.jpg"
"75486553","800-Sq-ft-Industrial-Building-FOR-Sale-Peenya-2nd-Stage-in-Bangalore&id=4d423735343836353533"," Industrial Building for Resale in Stage 2nd Peenya","2025-08-17T17:35:02.000Z","Air Conditioned,RO Water System","11000000","13750","₹","  Industrial Building is available for Sale in Stage 2nd Peenya, Bangalore for 1.1 Crore(s)","Priced at a reasonable price of ₹1.10 Cr, this Industrial building is available for sale in Peenya 2nd Stage and has a super built up area of 800 square feet. This industrial building can be booked by you by just paying Rs 2000000. The industrial building offers air conditioned,ro water system that caters your needs. The industrial building has an average 15 to 20 years. The landmark doddanna industry is situated near this industrial building  Up for sale, the industrial building is in Peenya 2nd Stage, Bangalore - West, Karnataka.",,,,,,,,,,"doddanna industry","13.01507,77.48806","yashwanth",,,,,,"East",,"Bangalore",,"Bangalore, Karnataka","800",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Oct/16/Photo_h180_w240/75486553_11_PropertyImage821-3772229890221_180_240.jpg"
"46032615","25000-Sq-ft-Industrial-Building-FOR-Sale-Bommasandra-Jigani-Link-Road-in-Bangalore&id=4d423436303332363135"," Industrial Building for Resale in Bommasandra Jigani Link Road","2025-08-18T17:35:02.000Z",,"200000000","8000","₹","  Industrial Building is available for Sale in Bommasandra Jigani Link Road, Bangalore for 20.0 Crore(s)","Up for sale in Bommasandra Jigani Link Road, this industrial building having a super built up area of 25000 square feet and is available at best ₹20 Cr price. The construction age of this industrial building is 10 to 15 years. This is the exact Bommasandra Jigani Link Road, Bangalore - South, Karnataka of this industrial building on sale.",,,,,,,,,,,"12.8062366,77.6633302","Sabariappan",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,
"59587097","3000-Sq-ft-Industrial-Building-FOR-Sale-Rajaji-Nagar-Industrial-Town-in-Bangalore&id=4d423539353837303937"," Industrial Building for Resale in Rajajinagar Industrial Town, Rajajinagar","2025-08-14T14:13:27.000Z","Visitor Parking","50000000","16667","₹","With 300 HP power ( electricity )","Located in Rajaji Nagar Industrial Town, this industrial building is up for sale and spans across a super-built area of 3000 square feet. It is fairly priced at ₹5 Cr. You can book it in advance with a booking amount of just Rs 5000000. Facilities like visitor parking are present in the industrial building. The built up age of this industrial building is 10 to 15 years. An industrial building is near the landmark opposite hyundai service station. The industrial building is the easily reachable address of Rajaji Nagar Industrial Town, Bangalore - Central, Karnataka.",,"19201|SSI Industrial Area","19202|Government Tool Room Training Center",,,,,,,"opposite Hyundai Service Station","12.97871809,77.54994314","Ram Das",,,,,,,,"Bangalore",,"Bangalore, Karnataka","3000",,"12800",,
"80978039","1350-Sq-ft-Industrial-Building-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423830393738303339"," Industrial Building for Resale in Kanakapura Road","2025-08-18T11:31:51.000Z",,"20000000","14815","₹","Industrial building is available for sale. It is a good location property. Please contact for more details.","Positioned it well at Kanakapura Road this Industrial building at ₹2 Cr has 1350 square feet is up for sale. The industrial building for sale is in Kanakapura Road, Bangalore - South, Karnataka.",,"19202|GR Pre University College","19202|School of Engineering and Technology Jain University Bangalore","19210|NICE Road Junction",,,,,,,"12.84819789,77.52157499","R",,,,,,,,"Bangalore",,"Bangalore, Karnataka","1350",,"12800",,
"75486553","800-Sq-ft-Industrial-Building-FOR-Sale-Peenya-2nd-Stage-in-Bangalore&id=4d423735343836353533"," Industrial Building for Resale in Stage 2nd Peenya","2025-08-17T17:35:02.000Z","Air Conditioned,RO Water System","11000000","13750","₹","  Industrial Building is available for Sale in Stage 2nd Peenya, Bangalore for 1.1 Crore(s)","Priced at a reasonable price of ₹1.10 Cr, this Industrial building is available for sale in Peenya 2nd Stage and has a super built up area of 800 square feet. This industrial building can be booked by you by just paying Rs 2000000. The industrial building offers air conditioned,ro water system that caters your needs. The industrial building has an average 15 to 20 years. The landmark doddanna industry is situated near this industrial building  Up for sale, the industrial building is in Peenya 2nd Stage, Bangalore - West, Karnataka.",,,,,,,,,,"doddanna industry","13.01507,77.48806","yashwanth",,,,,,"East",,"Bangalore",,"Bangalore, Karnataka","800",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Oct/16/Photo_h180_w240/75486553_11_PropertyImage821-3772229890221_180_240.jpg"
"46032615","25000-Sq-ft-Industrial-Building-FOR-Sale-Bommasandra-Jigani-Link-Road-in-Bangalore&id=4d423436303332363135"," Industrial Building for Resale in Bommasandra Jigani Link Road","2025-08-18T17:35:02.000Z",,"200000000","8000","₹","  Industrial Building is available for Sale in Bommasandra Jigani Link Road, Bangalore for 20.0 Crore(s)","Up for sale in Bommasandra Jigani Link Road, this industrial building having a super built up area of 25000 square feet and is available at best ₹20 Cr price. The construction age of this industrial building is 10 to 15 years. This is the exact Bommasandra Jigani Link Road, Bangalore - South, Karnataka of this industrial building on sale.",,,,,,,,,,,"12.8062366,77.6633302","Sabariappan",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,
"59587097","3000-Sq-ft-Industrial-Building-FOR-Sale-Rajaji-Nagar-Industrial-Town-in-Bangalore&id=4d423539353837303937"," Industrial Building for Resale in Rajajinagar Industrial Town, Rajajinagar","2025-08-14T14:13:27.000Z","Visitor Parking","50000000","16667","₹","With 300 HP power ( electricity )","Located in Rajaji Nagar Industrial Town, this industrial building is up for sale and spans across a super-built area of 3000 square feet. It is fairly priced at ₹5 Cr. You can book it in advance with a booking amount of just Rs 5000000. Facilities like visitor parking are present in the industrial building. The built up age of this industrial building is 10 to 15 years. An industrial building is near the landmark opposite hyundai service station. The industrial building is the easily reachable address of Rajaji Nagar Industrial Town, Bangalore - Central, Karnataka.",,"19201|SSI Industrial Area","19202|Government Tool Room Training Center",,,,,,,"opposite Hyundai Service Station","12.97871809,77.54994314","Ram Das",,,,,,,,"Bangalore",,"Bangalore, Karnataka","3000",,"12800",,
"80978039","1350-Sq-ft-Industrial-Building-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423830393738303339"," Industrial Building for Resale in Kanakapura Road","2025-08-18T11:31:51.000Z",,"20000000","14815","₹","Industrial building is available for sale. It is a good location property. Please contact for more details.","Positioned it well at Kanakapura Road this Industrial building at ₹2 Cr has 1350 square feet is up for sale. The industrial building for sale is in Kanakapura Road, Bangalore - South, Karnataka.",,"19202|GR Pre University College","19202|School of Engineering and Technology Jain University Bangalore","19210|NICE Road Junction",,,,,,,"12.84819789,77.52157499","R",,,,,,,,"Bangalore",,"Bangalore, Karnataka","1350",,"12800",,
