"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"73850923","2100-Sq-ft-Industrial-Shed-FOR-Sale-Hirohalli-in-Bangalore&id=4d423733383530393233"," Industrial Shed for Resale in Herohalli Sunkadakatte","2025-07-17T17:35:02.000Z",,"23100000","11000","₹","Industrial Shed is available for sale. It has a Covered area of 2100 sq-ft, it is a good location property. Please contact for more details","This factory land is for sale in Hirohalli, is situated across a an area of 2100 square feet, and is listed at a competitive price of ₹2.31 Cr. This commercial building is available to visit at the following address Hirohalli, Bangalore - West, Karnataka.",,"19202|The Great Eastern International Public School",,,,,,,,,"12.99139299,77.48871221","Umesh g",,,,,,,,"Bangalore",,"Bangalore, Karnataka","2100",,"12800",,
"67432109","5500-Sq-ft-Industrial-Shed-FOR-Sale-Peenya-Industrial-Area-Phase-3-in-Bangalore&id=4d423637343332313039"," Industrial Shed for Resale in Phase 3 Peenya","2025-08-09T17:35:02.000Z",,"70000000","12727","₹","Industrial shed is available for sale. It has a covered area of 5500 sqft, it is a good location property. Please contact for more details.","This Industrial shed is available for sale in Peenya Industrial Area Phase 3 is spread across a super built up area of 5500 square feet, and is priced at a reasonable rate of ₹7 Cr. The following address Peenya Industrial Area Phase 3, Bangalore - West, Karnataka, is where you may view the industrial shed that is for sale.",,"19203|Sanjeevani Nursing Home","19210|Majestic City Railway Station And Bus Station",,,,,,,,"13.02250622,77.51721982","Nabras",,,,,,,,"Bangalore",,"Bangalore, Karnataka","5500",,"12800",,
"53366011","2350-Sq-ft-Industrial-Shed-FOR-Sale-Rajaji-Nagar-in-Bangalore&id=4d423533333636303131"," Industrial Shed for Resale in Rajajinagar","2025-08-08T17:35:01.000Z",,"28200000","12000","₹","  Industrial Shed is available for Sale in Rajajinagar, Bangalore for 2.8 Crore(s)","This Industrial shed is available for sale in Rajaji Nagar is spread across a super built up area of 2350 square feet, and is priced at a reasonable rate of ₹2.82 Cr. The following address can be used to learn more about this factory land  for sale: Rajaji Nagar, Bangalore - Central, Karnataka.",,"19201|Golden Heights","19201|Rajaji Nagar It Park","19202|NPS Global Montessori Centre","19202|Vidya Vardhaka Sangha","19203|Chamumoi Hospital","19203|Fortis Hospital","19210|Rashtrakavi Kuvempu Road Metro Station, Bangalore","19210|Mahakavi Kuvempu Road Metro Station",,"12.99488039,77.55623702","salini",,,,,,,,"Bangalore",,"Bangalore, Karnataka","2350",,"12800",,
"64935967","4200-Sq-ft-Industrial-Shed-FOR-Sale-Begur-in-Bangalore&id=4d423634393335393637"," Industrial Shed for Resale in Begur","2025-08-24T17:35:01.000Z",,"15000000","3571","₹","  Industrial Shed is available for Sale in Begur, Bangalore for 1.5 Crore(s)","This industrial shed is for sale in Begur and is situated across a highly developed area of 4200 square feet. The asking price is ₹1.50 Cr. For further details on this factory land for sale, the address is Begur, Bangalore - South, Karnataka.",,"19202|The Salonee Public School","19202|Brilliant Academy School","19203|Vijayashree Multi Speciality Hospital","19203|Jayashree Multi Speciality Hospital","19210|Chikkabegur Metro Station","19210|Begur Vishwapriya Layout Junction Bus Stop",,,,"12.877316,77.6381045","Anand",,,,,,,,"Bangalore",,"Bangalore, Karnataka","4200",,"12800",,
"27762735","2200-Sq-ft-Industrial-Shed-FOR-Sale-Vijayanagar-in-Bangalore&id=4d423237373632373335"," Industrial Shed for Resale in Vijayanagar","2025-08-24T17:35:01.000Z",,"20000000","9091","₹","its an factory shed with 2 washrooms...with 7 and 5 BHP of power ...","Located in Vijayanagar, this industrial shed is up for sale in and spans across a super-built area of 2200 square feet. It is priced at a fair cost of ₹2 Cr. The industrial shed occupies a plot with a surface size of 2340.0 square feet. For further details on this factory land for sale, the address is Vijayanagar, Bangalore - Central, Karnataka.",,"19201|GT World Mall - Bengaluru","19201|Vijaynagar Market","19202|R.V. College Of Engineering","19202|LR English School","19203|Manasa Hospital","19203|Gurushree Hitech Multispeciality Hospital","19210|Attiguppe Metro Station","19210|Vijayanagar Metro Station, Bangalore",,"12.97245574,77.53202141","T Vishnusa",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka","2200",,"12800",,
"74786667","3800-Sq-ft-Industrial-Shed-FOR-Sale-Magadi-Main-Road-in-Bangalore&id=4d423734373836363637"," Industrial Shed for Resale in Magadi Main Road","2025-09-02T08:01:07.000Z",,"25000000","6579","₹","This is a Industrial Conversion property and road is 40ft width, water storage available, Borewell installed and 40hp and 63kva power available and TC installed. This is a very good investment for you because BDA layout Nadaprabhu Kempe Gowda Layout attached future metro is coming and this industrial shed is 500 meters from main road. It is connectivity to Kengeri, Ramnagara and Bidadi. It is also connectivity to Sondekoppa, Nelamangala and Tumkur Road. Connectivity to Kunigal and Hasan. future metro is extending from Sumanahalli to Tavarekere.","The industrial shed occupies a plot with a surface size of 4675.0 square feet. The industrial shed is close to important the landmark the property is connectivity to kengeri, kunigal and tumkur road.. For further details on this industrial shed for sale, the address is Magadi Main Road, Bangalore - West, Karnataka.",,"19202|Brite College Of Nursing And Avk Group Of Institution","19202|Acharya s Bangalore Business School",,,,,,,"The property is connectivity to Kengeri, Kunigal and Tumkur Road.","12.96986775,77.4120635","Jayaram",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka","3800",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Sep/02/Photo_h180_w240/74786667_2_0240106141141_180_240.jpg"
"41386219","20000-Sq-ft-Industrial-Shed-FOR-Sale-Bangalore-Hyderabad-Highway-in-Bangalore&id=4d423431333836323139"," Industrial Shed for New Property in Bangalore Hyderabad Highway","2025-08-30T17:35:01.000Z","Visitor Parking","30000000","1500","₹","It is a newly constructed ready made garment industrial shed.","The industrial shed comes with amenities like visitor parking that are necessary. The landmark beside new wipro factory. is situated near this industrial shed. For further details on this factory land for sale, the address is Bangalore Hyderabad Highway, Bangalore - Chikkaballapura, Karnataka.",,,,,,,,,,"Beside New Wipro Factory.","13.16663327,77.63062224","Balaji Mudugal",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Mar/10/Photo_h180_w240/caee358-c0c3-4a68-9afb-e0c208903076_41386219_180_240.jpg"
"41386219","20000-Sq-ft-Industrial-Shed-FOR-Sale-Bangalore-Hyderabad-Highway-in-Bangalore&id=4d423431333836323139"," Industrial Shed for New Property in Bangalore Hyderabad Highway","2025-08-30T17:35:01.000Z","Visitor Parking",,"1500","₹","It is a newly constructed ready made garment industrial shed.","The industrial shed comes with amenities like visitor parking that are necessary. The landmark beside new wipro factory. is situated near this industrial shed. For further details on this factory land for sale, the address is Bangalore Hyderabad Highway, Bangalore - Chikkaballapura, Karnataka.",,,,,,,,,,"Beside New Wipro Factory.","13.16663327,77.63062224","Balaji Mudugal",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Mar/10/Photo_h180_w240/caee358-c0c3-4a68-9afb-e0c208903076_41386219_180_240.jpg"
"47249817","6000-Sq-ft-Industrial-Shed-FOR-Sale-Singasandra-in-Bangalore&id=4d423437323439383137"," Industrial Shed for Resale in Singasandra, Hosur Road","2025-07-29T17:35:02.000Z",,"27000000","4500","₹","Industrial shed is available for sale. It is Plot area 6000 Sq-ft.","The industrial shed is located on an area of 6000.0 square feet.  The landmark near by hosur road. is situated near this industrial shed. For further details on this factory land for sale, the address is Singasandra, Bangalore - South, Karnataka.",,"19202|New Bishop Cotton High School","19202|Bluebell Public School","19203|Teatree Hospital & Diagnostic Centre","19203|Hospitec","19210|Singasandra Bus Stop",,,,"Near by Hosur Road.","12.8803174,77.6478945","varghese",,,"12850",,,,,"Bangalore",,"Bangalore, Karnataka",,,,,
"72861511","Industrial-Shed-FOR-Sale-Srirampuram-in-Bangalore&id=4d423732383631353131"," Industrial Shed for Resale in Srirampura","2025-07-18T17:35:01.000Z","RO Water System,Service/Goods Lift","25000000",,"₹","  Industrial Shed is available for Sale in Srirampura, Bangalore ","Associated with necessary amenities like ro water system,service/goods lift is the industrial shed. The following address Srirampuram, Bangalore - Central, Karnataka, is where you may view the industrial shed that is for sale.",,"19201|VM Complex","19202|Best Civil Services Coaching ","19202|Readwell Convent School","19210|Malleswaram Railway Station",,,,,,"12.9951812,77.56696234","Pallavi",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/May/17/Photo_h180_w240/72861511_2_PropertyImage298-5332060367063_180_240.jpg"
"69103357","Industrial-Shed-FOR-Sale-Soladevanahalli-in-Bangalore&id=4d423639313033333537"," Industrial Shed for Resale in Soladevanahalli","2025-07-18T17:35:01.000Z","Air Conditioned","13500000",,"₹","  Industrial Shed is available for Sale in Soladevanahalli, Bangalore ","Industrial shed comes with essential facilities like air conditioned. This commercial building is available to visit at the following address Soladevanahalli, Bangalore - West, Karnataka.",,,,,,,,,,,"13.0854299,77.482105","Suresha K",,,,,,"East",,"Bangalore",,"Bangalore, Karnataka",,,,,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Sep/16/Photo_h180_w240/69103357_2_PropertyImage394-39856486076576_180_240.jpg"
"81161773","780-Sq-ft-Industrial-Shed-FOR-Sale-in-Bangalore&id=4d423831313631373733"," Industrial Shed for Resale in ","2025-09-01T05:10:18.000Z",,,,"₹","The industrial shed is available for rent. It is a good location property. Please contact for more details.","For further details on this industrial shed for sale, the address is Bangalore, Karnataka.",,,,,,,,,,,,"sharath kumar v",,,,,,,,"Bangalore",,"Bangalore, Karnataka","780",,"12800",,
"80140423","5100-Sq-ft-Industrial-Shed-FOR-Sale-Peenya-Industrial-Area-in-Bangalore&id=4d423830313430343233"," Industrial Shed for Resale in Peenya","2025-06-23T13:15:10.000Z",,,,"₹","  Industrial Shed is available for Sale in Peenya, Bangalore ","You can view this industrial shed on sale at the following address: Peenya Industrial Area, Bangalore - West, Karnataka.",,"19201|A One Super Market","19201|Infrantry Techno Park","19202|MS Ramaiah University of Applied Sciences","19202|Bnr Public School","19203|Columbia Asia Referral Hospital ? Yeshwanthpur","19203|CNK Reddy College of Pharmacy","19210|Jalahalli Metro Station","19210|Jalahalli Metro Station, Bangalore",,"13.0270205,77.5116465","Venkatakrishnan",,,,,,,,"Bangalore",,"Bangalore, Karnataka","5100",,"12800",,
"79570615","11000-Sq-ft-Industrial-Shed-FOR-Sale-in-Bangalore&id=4d423739353730363135"," Industrial Shed for Resale in ","2025-05-21T01:25:23.000Z",,"45000000","4091","₹","  Industrial Shed is available for Sale in , Bangalore for 4.5 Crore(s)","This Industrial shed is available for sale in Hosakote is spread across a super built up area of 11000 square feet, and is priced at a reasonable rate of ?4.50 Cr. You can view this industrial shed on sale at the following address: Bangalore, Karnataka.",,,,,,,,,,,,"Chandan Kumar",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/May/21/Photo_h180_w240/79570615_2_MG2012052900496_180_240.jpg"
"73850459","2100-Sq-ft-Industrial-Shed-FOR-Sale-Hirohalli-in-Bangalore&id=4d423733383530343539"," Industrial Shed for Resale in Herohalli Sunkadakatte","2025-07-17T17:35:02.000Z",,"23100000","11000","₹","  Industrial Shed is available for Sale in Herohalli Sunkadakatte, Bangalore for 2.3 Crore(s)","Located in Hirohalli, this industrial shed is up for sale in and spans across a super-built area of 2100 square feet. It is priced at a fair cost of ₹2.31 Cr. The following address can be used to learn more about this factory land  for sale: Hirohalli, Bangalore - West, Karnataka.",,"19202|The Great Eastern International Public School",,,,,,,,,"12.99139299,77.48871221","Umesh g",,,,,,,,"Bangalore",,"Bangalore, Karnataka","2100",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Jul/16/Photo_h180_w240/73850459_2_IMG20240508WA0013_180_240.jpg"
